단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,용적률,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,최소월세,최대월세,최소면적,최대면적,대표면적,매매매물수,전세매물수,월세매물수,총매물수,분양여부,사진수
"현대비젼21(주상복합)",37.487314,127.051525,"아파트",199911,1,232,990,40000,65000,43000,31000,40000,33500,70,130,50.9,66.57,50,31,21,3,55,,
"마일스디오빌(주상복합)",37.51379,127.02892,"아파트",200411,1,260,599,37500,45000,39800,31500,32500,32250,75,145,47.19,47.19,47,17,4,13,47,,
"대치대우아이빌명문가(주상복합)",37.505138,127.053901,"아파트",200402,1,210,637,28000,50000,30000,,,,160,160,41.88,58.56,41,11,,1,13,,
"아스하임(626-3,도시형)",37.535714,127.083225,"아파트",201709,1,12,337,29000,29000,29000,,,,,,21.25,21.25,21,1,,,1,,
"한라비발디스튜디오193(도시형)",37.485768,127.032051,"아파트",201307,1,149,557,24800,49000,25500,,,,70,105,32.02,57.7,32,16,,2,18,,
"한양수자인어반게이트(도시형)",37.509749,127.033574,"아파트",201306,1,108,249,20500,25000,22000,19000,19000,19000,45,90,23.42,29.92,23,5,3,2,11,,
"진넥스빌2(주상복합)",37.501779,127.044005,"아파트",200304,1,56,545,20000,35000,20450,25357,25357,,180,180,33.29,42.62,33,7,1,1,9,,
"라온빌(도시형)",37.490438,127.036289,"아파트",201305,1,11,150,,,,,,,,,20.79,56.27,,,,,,,
"다사랑빌(도시형)",37.493865,127.034071,"아파트",201207,1,11,197,,,,,,,,,20.32,47.03,,,,,,,
"광평하우스빌",37.491566,127.035787,"아파트",199707,1,16,240,,,,,,,,,30.48,57.42,,,,,,,
"토미하우스(도시형)",37.511675,127.026371,"아파트",201304,1,14,1991,,,,,,,,,16.67,41.18,,,,,,,
"디아트(주상복합)",37.52519,127.049858,"아파트",201407,1,16,249,,,,,,,,,150.68,150.68,150.68,,,,,,
"랜드마크Ⅱ(도시형)",37.534219,127.064772,"아파트",202207,1,24,157,,,,,,,,,24.84,29.01,,,,,,,
"더케이(도시형)",37.518058,127.039142,"아파트",201205,1,16,199,,,,,,,,,20.49,36.77,,,,,,,
"꿈꾸지오(697-23)",37.506274,127.044981,"아파트",201611,1,16,199,,,,,,,,,25.97,32.34,32.31,,,,,,
"호정빌라트",37.490671,127.082976,"아파트",199505,1,19,262,,,,,,,,,150.39,166.86,160,,,,,,
"서초다솔맴버스",37.486662,127.005948,"아파트",200307,1,6,295,,,,,,,,,88.0,167.26,164.36,,,,,,
"신반포21차",37.509127,127.01362,"재건축",198412,2,108,170,,,,,,,,,129.25,145.37,129.25,,,,,,
"로얄하이츠",37.481179,127.009938,"아파트",200505,1,12,243,,,,,,,,,107.03,153.68,153.68,,,,,,
"진흥펠리체(도시형)",37.508478,127.031283,"아파트",201511,2,40,,,,,,,,,,15.19,34.75,32.58,,,,,,
"더클래스(도시형)",37.488071,127.017509,"아파트",202007,1,20,182,,,,,,,,,31.17,34.82,34.82,,,,,,
"신구블레스벨리",37.488006,127.007394,"아파트",200207,1,10,260,,,,,,,,,117.79,165.18,165.18,,,,,,
"신성빌리지",37.487213,127.044538,"아파트",199507,2,16,85,,,,,,,,,119.94,131.9,119.94,,,,,,
"비스킷(도시형)",37.487463,127.03503,"아파트",201306,1,19,182,,,,,,,,,21.61,56.68,,,,,,,
"포이벨리",37.47462,127.055156,"아파트",200112,1,10,268,,,,,,,,,98.3,98.3,98.3,,,,,,
"로덴하우스이스트빌리지",37.485699,127.046774,"아파트",200910,1,33,249,,,,,,,,,280.33,287.45,280.33,,,,,,
"양재테크노2차",37.482434,127.041874,"아파트",200204,1,19,299,,,,,,,,,73.32,142.42,104.84,,,,,,
"동연빌(주상복합)",37.489016,127.040218,"아파트",200108,1,18,296,,,,,,,,,35.64,39.34,39.34,,,,,,
"S-타워(주상복합)",37.503447,127.065572,"아파트",199607,1,19,445,,,,,,,,,246.25,246.25,246.25,,,,,,
"한영그린빌(도시형)",37.52948,127.07617,"아파트",201508,1,10,199,,,,,,,,,50.07,56.43,56.43,,,,,,
"스위트캐슬",37.516456,127.028498,"아파트",200307,2,16,149,,,,,,,,,270.21,270.62,270.21,,,,,,
"도곡스타빌",37.484133,127.042565,"아파트",200609,1,15,249,,,,,,,,,59.17,104.14,68.51,,,,,,
"아미헌(도시형)",37.506289,127.041575,"아파트",201308,1,21,229,,,,,,,,,27.67,33.86,27.67,,,,,,
"네스빌",37.498271,127.040064,"아파트",199605,1,9,187,,,,130000,130000,130000,,,259.51,259.51,259,,1,,1,,
"한강아남",37.533348,127.065063,"아파트",199512,1,47,199,,,,,,,,,70.47,134.72,134.72,,,,,,
"반트하임(도시형)",37.476128,127.036371,"아파트",201609,4,40,199,,,,,,,,,40.7,58.76,45.77,,,,,,
"기산빌라트",37.527984,127.080539,"아파트",199706,1,19,254,,,,,,,,,179.97,199.1,183.49,,,,,,
"플래티늄",37.498557,127.042336,"아파트",200305,1,19,288,,,,,,,,,49.86,121.79,51.07,,,,,,
